away_goals;away_name;away_played;away_position;away_probability;competition_progress;competition_type;corners;country;date;date_unix;draw_probability;ft_result_draw_opening;home_goals;home_name;home_played;home_position;home_probability;id;is_friendly;league_name;league_predictability
2;Völsungur;9;9;20.78;45;League;15;Iceland;Jul 6th 2023;1688670900;19.92;4.33;3;Dalvík / Reynir;10;5;59.3;39864902;No;2. Deild;medium
1;KFG;10;3;31.47;45;League;11;Iceland;Jul 6th 2023;1688670900;22.97;3.90;1;Thróttur Vogar;10;4;45.61;39864903;No;2. Deild;medium
2;Poland U19;1;3;57.02;27;Cup;6;Europe;Jul 6th 2023;1688670900;19.67;12.06;0;Malta U19;1;4;23.31;39864904;No;Euro U19;
1;Guayaquil;18;7;18.61;50;League;8;Ecuador;Jul 6th 2023;1688673600;31.09;2.85;2;Vargas Torres;18;5;50.25;39760131;No;Primera B;good
0;Boca Juniors;22;11;38.44;54;League;10;Argentina;Jul 6th 2023;1688673600;28.61;3.00;0;Unión Santa Fe;22;26;32.95;39864905;No;Superliga;poor
2;Hvíti riddarinn;10;11;32.54;47;League;7;Iceland;Jul 6th 2023;1688674500;20.41;3.71;3;ÍH;10;10;47.05;39864906;No;3. Deild;good
1;Talleres Córdoba;22;3;41.08;54;League;14;Argentina;Jul 6th 2023;1688680800;27.16;;0;Sarmiento;22;15;31.78;39864907;No;Superliga;poor
0;Instituto;22;20;13.1;54;League;15;Argentina;Jul 6th 2023;1688680800;19.06;;0;Argentinos Juniors;22;10;67.84;39864908;No;Superliga;poor
0;Angostura;16;9;22.05;57;League;6;Venezuela;Jul 6th 2023;1688680800;26.25;;5;Estudiantes Mérida;16;8;51.75;39864919;No;Primera Division;medium
0;Virginia Beach City;9;7;16.91;88;League;4;USA;Jul 6th 2023;1688680800;17.83;;6;Alexandria Reds;8;3;65.26;39864938;No;NPSL;high
0;Torch W;9;5;14.51;91;League;11;USA;Jul 6th 2023;1688680800;14.53;;3;Real Central NJ W;9;4;70.91;39864939;No;WPSL;high
2;Palmeiras U20;1;4;73.39;41;Cup;12;South America;Jul 6th 2023;1688680800;12.86;;1;Defensor Sporting U20;1;2;13.77;39864942;No;Copa Libertadores U20;good
0;Unión Española;15;8;36;50;League;0;Chile;Jul 6th 2023;1688684400;26.36;;0;Ñublense;15;12;37.64;39864952;No;Primera Division;poor
0;Manta;18;2;23.2;51;League;0;Ecuador;Jul 7th 2023;1688688000;30.63;;0;9 de Octubre;18;10;46.17;39760130;No;Primera B;good
0;Boulder County United;8;14;43.74;78;League;0;USA;Jul 7th 2023;1688688000;23.90;;0;Flatirons Rush;7;23;32.36;39949080;No;USL League Two;medium
0;Wichita;8;5;12.57;78;League;0;USA;Jul 7th 2023;1688688000;12.25;;0;Chicago City;9;2;75.18;39949081;No;USL League Two;medium
